0	49.9	-0.9	0
4	50.8	-0.8	0.9
8	51.6	-1.2	1.7
12	52.8	-0.9	2.9
16	53.7	-1.2	3.8
20	54.9	-0.8	5
24	55.7	-0.9	5.8
28	56.6	-1.2	6.7
32	57.8	-0.8	7.9
36	58.6	-0.8	8.7
40	59.4	-1.3	9.5
44	60.7	-0.8	10.8
48	61.5	-0.8	11.6
52	62.3	-1.3	12.4
56	63.6	-0.8	13.7
60	64.4	-0.8	14.5
64	65.2	-0.9	15.3
68	66.1	-1.2	16.2
72	67.3	-0.8	17.4
76	68.1	-0.8	18.2
80	68.9	-1.3	19
84	70.2	-0.8	20.3
88	71	-0.8	21.1
92	71.8	-1.3	21.9
96	73.1	-0.8	23.2
100	73.9	-0.8	24
104	74.7	-1.2	24.8
108	75.9	-0.9	26
112	76.8	-0.8	26.9
116	77.6	-1.2	27.7
120	78.8	-0.9	28.9
124	79.7	-0.8	29.8
128	80.5	-1.2	30.6
132	81.7	-0.8	31.8
136	82.5	-0.9	32.6
140	83.4	-1.2	33.5
144	84.6	-0.8	34.7
148	85.4	-1.3	35.5
152	86.7	-0.8	36.8
156	87.5	-0.8	37.6
160	88.3	-1.2	38.4
164	89.5	-0.9	39.6
168	90.4	-0.8	40.5
172	91.2	-1.2	41.3
176	92.4	-0.8	42.5
180	93.2	-0.9	43.3
184	94.1	-1.2	44.2
188	95.3	-0.8	45.4
192	96.1	-0.9	46.2
196	97	-0.8	47.1
200	97.8	-1.2	47.9
204	99	-0.8	49.1
208	99.8	-1.3	49.9
212	101.1	-0.8	51.2
216	101.9	-0.8	52
220	102.7	-1.3	52.8
224	104	-0.8	54.1
228	104.8	-0.8	54.9
232	105.6	-1.2	55.7
236	106.8	-0.8	56.9
240	107.6	-0.9	57.7
244	108.5	-0.8	58.6
248	109.3	-1.2	59.4
252	110.5	-0.9	60.6
256	111.4	-0.8	61.5
260	112.2	-1.2	62.3
264	113.4	-0.8	63.5
268	114.2	-0.9	64.3
272	115.1	-0.8	65.2
276	115.9	-1.2	66
280	117.1	-0.8	67.2
284	117.9	-0.9	68
288	118.8	-0.8	68.9
292	119.6	-1	69.7
296	120.6	-1	70.7
300	121.6	-0.9	71.7
304	122.5	-1.2	72.6
308	123.7	-0.8	73.8
312	124.5	-0.8	74.6
316	125.3	-1.3	75.4
320	126.6	-0.8	76.7
324	127.4	-0.8	77.5
328	128.2	-1.2	78.3
332	129.4	-0.9	79.5
336	130.3	-0.8	80.4
340	131.1	-0.8	81.2
344	131.9	-1.2	82
348	133.1	-0.9	83.2
352	134	-1.2	84.1
356	135.2	-0.8	85.3
360	136	-0.9	86.1
364	136.9	-0.8	87
368	137.7	-1.2	87.8
372	138.9	-0.8	89
376	139.7	-0.9	89.8
380	140.6	-1.2	90.7
384	141.8	-0.8	91.9
388	142.6	-0.8	92.7
392	143.4	-1.2	93.5
396	144.6	-0.9	94.7
400	145.5	-0.8	95.6
404	146.3	-1.2	96.4
408	147.5	-0.9	97.6
412	148.4	-0.8	98.5
416	149.2	-1.2	99.3
420	150.4	-0.8	100.5
424	151.2	-0.9	101.3
428	152.1	-0.8	102.2
432	152.9	-1.2	103
436	154.1	-0.8	104.2
440	154.9	-0.9	105
444	155.8	-0.8	105.9
448	156.6	-1.2	106.7
452	157.8	-0.9	107.9
456	158.7	-0.8	108.8
460	159.5	-0.8	109.6
464	160.3	-1.3	110.4
468	161.6	-0.8	111.7
472	162.4	-1.2	112.5
476	163.6	-0.8	113.7
480	164.4	-0.9	114.5
484	165.3	-1.2	115.4
488	166.5	-0.8	116.6
492	167.3	-1.1	117.4
496	168.4	-1	118.5
500	169.4	-0.8	119.5
504	170.2	-0.8	120.3
508	171	-1.2	121.1
512	172.2	-0.9	122.3
516	173.1	-0.8	123.2
520	173.9	-1.2	124
524	175.1	-0.9	125.2
528	176	-1.2	126.1
532	177.2	-0.8	127.3
536	178	-0.8	128.1
540	178.8	-1.3	128.9
544	180.1	-0.8	130.2
548	180.9	-0.9	131
552	181.8	-1.1	131.9
556	182.9	-0.9	133
560	183.8	-1.2	133.9
564	185	-0.8	135.1
568	185.8	-0.8	135.9
572	186.6	-0.9	136.7
576	187.5	-1.2	137.6
580	188.7	-0.8	138.8
584	189.5	-0.9	139.6
588	190.4	-1.2	140.5
592	191.6	-0.8	141.7
596	192.4	-0.9	142.5
600	193.3	-1.2	143.4
604	194.5	-0.8	144.6
608	195.3	-0.8	145.4
612	196.1	-1.2	146.2
616	197.3	-0.9	147.4
620	198.2	-0.8	148.3
624	199	-1.2	149.1
628	200.2	-0.8	150.3
