0	49.9
4	50.8
8	51.6
12	52.8
16	53.7
20	54.9
24	55.7
28	56.6
32	57.8
36	58.6
40	59.4
44	60.7
48	61.5
52	62.3
56	63.6
60	64.4
64	65.2
68	66.1
72	67.3
76	68.1
80	68.9
84	70.2
88	71
92	71.8
96	73.1
100	73.9
104	74.7
108	75.9
112	76.8
116	77.6
120	78.8
124	79.7
128	80.5
132	81.7
136	82.5
140	83.4
144	84.6
148	85.4
152	86.7
156	87.5
160	88.3
164	89.5
168	90.4
172	91.2
176	92.4
180	93.2
184	94.1
188	95.3
192	96.1
196	97
200	97.8
204	99
208	99.8
212	101.1
216	101.9
220	102.7
224	104
228	104.8
232	105.6
236	106.8
240	107.6
244	108.5
248	109.3
252	110.5
256	111.4
260	112.2
264	113.4
268	114.2
272	115.1
276	115.9
280	117.1
284	117.9
288	118.8
292	119.6
296	120.6
300	121.6
304	122.5
308	123.7
312	124.5
316	125.3
320	126.6
324	127.4
328	128.2
332	129.4
336	130.3
340	131.1
344	131.9
348	133.1
352	134
356	135.2
360	136
364	136.9
368	137.7
372	138.9
376	139.7
380	140.6
384	141.8
388	142.6
392	143.4
396	144.6
400	145.5
404	146.3
408	147.5
412	148.4
416	149.2
420	150.4
424	151.2
428	152.1
432	152.9
436	154.1
440	154.9
444	155.8
448	156.6
452	157.8
456	158.7
460	159.5
464	160.3
468	161.6
472	162.4
476	163.6
480	164.4
484	165.3
488	166.5
492	167.3
496	168.4
500	169.4
504	170.2
508	171
512	172.2
516	173.1
520	173.9
524	175.1
528	176
532	177.2
536	178
540	178.8
544	180.1
548	180.9
552	181.8
556	182.9
560	183.8
564	185
568	185.8
572	186.6
576	187.5
580	188.7
584	189.5
588	190.4
592	191.6
596	192.4
600	193.3
604	194.5
608	195.3
612	196.1
616	197.3
620	198.2
624	199
628	200.2
632	201	
