50.56	3910
51.52	3981
52.48	4102
53.44	4138
54.4	4196
55.36	4273
56.32	4341
57.28	4420
58.24	4468
59.2	4556
60.16	4589
61.12	4644
62.08	4731
63.04	4819
64	4917
64.96	4956
65.92	5030
66.88	5096
67.84	5168
68.8	5208
69.76	5286
70.72	5325
71.68	5419
72.64	5401
73.6	5513
74.56	5527
75.52	5563
76.48	5573
77.44	5594
78.4	5618
79.36	5646
80.32	5670
81.28	5676
82.24	5691
83.2	5706
84.16	5714
85.12	5725
86.08	5739
87.04	5741
88	5744
88.96	5756
89.92	5772
90.88	5782
91.84	5784
92.8	5788
93.76	5799
94.72	5805
95.68	5812
96.64	5818
97.6	5824
98.56	5836
99.52	5839
100.48	5845
101.44	5850
102.4	5853
103.36	5861
104.32	5865
105.28	5870
106.24	5876
107.2	5880
108.16	5884
109.12	5887
110.08	5894
111.04	5897
112	5900
112.96	5907
113.92	5908
114.88	5915
115.84	5917
116.8	5920
117.76	5926
118.72	5933
119.68	5933
120.64	5947
121.6	5943
122.56	5956
123.52	5961
124.48	5962
125.44	5961
126.4	5959
127.36	5962
128.32	5964
129.28	5966
130.24	5976
131.2	5978
132.16	5988
133.12	5993
134.08	5993
135.04	5996
136	6001
136.96	5992
137.92	5995
138.88	5999
139.84	6000
140.8	6003
141.76	6004
142.72	6006
143.68	6009
144.64	6009
145.6	6014
146.56	6018
147.52	6019
148.48	6022
149.44	6024
150.4	6028
151.36	6030
152.32	6030
153.28	6033
154.24	6037
155.2	6039
156.16	6043
157.12	6052
158.08	6047
159.04	6049
160	6050
160.96	6054
161.92	6054
162.88	6059
163.84	6062
164.8	6061
165.76	6065
166.72	6067
167.68	6067
168.64	6071
169.6	6072
170.56	6073
171.52	6075
172.48	6077
173.44	6078
174.4	6084
175.36	6087
176.32	6090
177.28	6092
178.24	6094
179.2	6096
180.16	6091
181.12	6093
182.08	6096
183.04	6100
184	6100
184.96	6103
185.92	6103
186.88	6102
187.84	6105
188.8	6108
189.76	6109
190.72	6111
191.68	6113
192.64	6113
193.6	6115
194.56	6115
195.52	6118
196.48	6120
197.44	6120
198.4	6122
199.36	6124
200.32	6125
